Ligand,Best Score
lig_39,-5.126
lig_390,-6.72
lig_391,-5.75
lig_392,-6.151
lig_393,-6.13
lig_394,-6.872
lig_395,-5.744
lig_396,-5.71
lig_397,-6.169
lig_398,-7.511
lig_399,-6.462
lig_4,-4.214
lig_40,-5.074
lig_400,-6.869
lig_401,-6.473
lig_402,-4.415
lig_403,-4.955
lig_404,-4.649
lig_405,-6.455
lig_406,-8.295
lig_407,-8.383
lig_408,-8.521
lig_409,-8.416
lig_41,-4.259
lig_410,-7.96
lig_411,-8.461
lig_412,-8.64
lig_413,-7.614
lig_414,-8.72
lig_415,-8.568
lig_416,-8.144
lig_417,-8.718
lig_418,-8.762
lig_419,-7.471
lig_42,NA
lig_420,-8.814
lig_421,-8.846
lig_422,-7.627
lig_423,-8.618
lig_424,-7.85
lig_425,-8.362
lig_426,-8.589
lig_427,-7.67
lig_428,-8.139
lig_429,-8.287
lig_43,-4.489
lig_430,-8.322
lig_431,-8.122
lig_432,-8.569
lig_433,-8.926
lig_434,-8.192
lig_435,-8.517
lig_436,-7.058
lig_437,-8.057
lig_438,-7.747
lig_439,-7.919
lig_44,-5.488
lig_440,-7.827
lig_441,-7.442
lig_442,-5.973
lig_443,-8.346
lig_444,-6.052
lig_445,-6.083
lig_45,-4.14
lig_46,-5.503
lig_47,NA
lig_48,-4.614
lig_49,-5.546
lig_5,-4.432
lig_50,-5.279
lig_51,-5.527
lig_52,-4.86
lig_53,-5.252
lig_54,-4.674
lig_55,-4.257
lig_56,-4.994
lig_57,-4.577
lig_58,-4.884
lig_59,-5.473
lig_6,-4.442
lig_60,-5.141
lig_61,-4.29
lig_62,-4.506
lig_63,-4.982
lig_64,-3.93
lig_65,-4.651
lig_66,-4.777
lig_67,-4.965
lig_68,-4.822
lig_69,-5.563
lig_7,-4.081
lig_70,-5.361
lig_71,-5.66
lig_72,-5.374
lig_73,-6.281
lig_74,-5.258
lig_75,-5.347
lig_76,-4.873
lig_77,-5.491
lig_78,-4.565
lig_79,-5.885
lig_8,-4.008
lig_80,-5.448
lig_81,-5.309
lig_82,-4.077
lig_83,-7.56
lig_84,-6.177
lig_85,-7.105
lig_86,-6.104
lig_87,-6.133
lig_88,-6.391
lig_89,-6.969
lig_9,-4.117
lig_90,-6.519
lig_91,-6.041
lig_92,-6.961
lig_93,-7.01
lig_94,-6.023
lig_95,-6.94
lig_96,-7.493
lig_97,-5.532
lig_98,-7.491
lig_99,-6.208
